name	group	core	number_of_molecules	functional_groups	functional_groups_list	functional_groups_breakdown
0Na	Na	[Na][Na]=[Ca][Ga][No]	52	17	"['*c1cnccn1', '*c1ccc(*)nc1', '*c1cccnc1*', '*c1cccnn1', '*c1ccncn1', '*c1ccn(*)n1', '*c1cscn1', '*c1cc(*)on1', '*c1cccnc1', '*c1csc(*)n1', '*c1nccn1*', '*c1nccs1', '*c1ccncc1', '*c1ccccn1', '*c1cnc(*)cn1', '*c1ccnn1*', '*c1ncccn1']"	"[{'SMILES': '*c1cnccn1', 'Image': '*c1cnccn1', 'Occurrences': 16, 'core': '[Na][Na]=[Ca][Ga][No]', 'Activities': [8.3, 8.5, 7.5, 7.7, 8.4, 8.7, 8.7, 6.9, 8.7, 8.7, 7.7, 7.8, 8.8, 7.5, 7.9, 7.7]}, {'SMILES': '*c1ccc(*)nc1', 'Image': '*c1ccc(*)nc1', 'Occurrences': 6, 'core': '[Na][Na]=[Ca][Ga][No]', 'Activities': [8.8, 7.6, 7.4, 8.6, 8.4, 7.9]}, {'SMILES': '*c1cccnc1*', 'Image': '*c1cccnc1*', 'Occurrences': 1, 'core': '[Na][Na]=[Ca][Ga][No]', 'Activities': [7.5]}, {'SMILES': '*c1cccnn1', 'Image': '*c1cccnn1', 'Occurrences': 3, 'core': '[Na][Na]=[Ca][Ga][No]', 'Activities': [6.3, 7.9, 7.5]}, {'SMILES': '*c1ccncn1', 'Image': '*c1ccncn1', 'Occurrences': 4, 'core': '[Na][Na]=[Ca][Ga][No]', 'Activities': [7.9, 7.5, 7.7, 6.8]}, {'SMILES': '*c1ccn(*)n1', 'Image': '*c1ccn(*)n1', 'Occurrences': 2, 'core': '[Na][Na]=[Ca][Ga][No]', 'Activities': [8.2, 8.3]}, {'SMILES': '*c1cscn1', 'Image': '*c1cscn1', 'Occurrences': 5, 'core': '[Na][Na]=[Ca][Ga][No]', 'Activities': [9.0, 8.8, 8.9, 8.0, 8.7]}, {'SMILES': '*c1cc(*)on1', 'Image': '*c1cc(*)on1', 'Occurrences': 2, 'core': '[Na][Na]=[Ca][Ga][No]', 'Activities': [7.9, 7.6]}, {'SMILES': '*c1cccnc1', 'Image': '*c1cccnc1', 'Occurrences': 1, 'core': '[Na][Na]=[Ca][Ga][No]', 'Activities': [8.2]}, {'SMILES': '*c1csc(*)n1', 'Image': '*c1csc(*)n1', 'Occurrences': 1, 'core': '[Na][Na]=[Ca][Ga][No]', 'Activities': [6.8]}, {'SMILES': '*c1nccn1*', 'Image': '*c1nccn1*', 'Occurrences': 1, 'core': '[Na][Na]=[Ca][Ga][No]', 'Activities': [6.5]}, {'SMILES': '*c1nccs1', 'Image': '*c1nccs1', 'Occurrences': 1, 'core': '[Na][Na]=[Ca][Ga][No]', 'Activities': [8.8]}, {'SMILES': '*c1ccncc1', 'Image': '*c1ccncc1', 'Occurrences': 1, 'core': '[Na][Na]=[Ca][Ga][No]', 'Activities': [7.6]}, {'SMILES': '*c1ccccn1', 'Image': '*c1ccccn1', 'Occurrences': 4, 'core': '[Na][Na]=[Ca][Ga][No]', 'Activities': [8.3, 7.2, 8.5, 7.5]}, {'SMILES': '*c1cnc(*)cn1', 'Image': '*c1cnc(*)cn1', 'Occurrences': 1, 'core': '[Na][Na]=[Ca][Ga][No]', 'Activities': [6.7]}, {'SMILES': '*c1ccnn1*', 'Image': '*c1ccnn1*', 'Occurrences': 2, 'core': '[Na][Na]=[Ca][Ga][No]', 'Activities': [7.8, 7.6]}, {'SMILES': '*c1ncccn1', 'Image': '*c1ncccn1', 'Occurrences': 1, 'core': '[Na][Na]=[Ca][Ga][No]', 'Activities': [8.8]}]"
1Na	Na	[Na][Na]=[Ca][Ga][No]	52	2	"['*c1nnc(*)n1*', '*c1cnc(*)n1*']"	"[{'SMILES': '*c1nnc(*)n1*', 'Image': '*c1nnc(*)n1*', 'Occurrences': 45, 'core': '[Na][Na]=[Ca][Ga][No]', 'Activities': [8.3, 8.8, 7.5, 6.3, 8.5, 7.9, 7.9, 8.2, 7.5, 7.5, 9.0, 7.9, 7.7, 8.8, 8.2, 6.8, 6.5, 7.7, 7.6, 7.4, 8.7, 8.7, 8.0, 7.6, 8.3, 6.7, 6.9, 7.8, 8.6, 7.2, 8.5, 7.5, 8.7, 7.7, 7.8, 8.7, 8.8, 7.6, 7.5, 7.9, 7.5, 6.8, 7.7, 8.3, 7.9]}, {'SMILES': '*c1cnc(*)n1*', 'Image': '*c1cnc(*)n1*', 'Occurrences': 7, 'core': '[Na][Na]=[Ca][Ga][No]', 'Activities': [7.6, 8.4, 8.9, 8.8, 8.7, 8.4, 8.8]}]"
2Ca	Ca	[Na][Na]=[Ca][Ga][No]	52	1	['*c1n(*)CCN(*)C1']	"[{'SMILES': '*c1n(*)CCN(*)C1', 'Image': '*c1n(*)CCN(*)C1', 'Occurrences': 52, 'core': '[Na][Na]=[Ca][Ga][No]', 'Activities': [8.3, 8.8, 7.5, 6.3, 8.5, 7.9, 7.9, 8.2, 7.5, 7.5, 9.0, 7.9, 7.7, 8.8, 8.2, 6.8, 6.5, 7.6, 7.7, 7.6, 7.4, 8.4, 8.7, 8.9, 8.7, 8.8, 8.0, 7.6, 8.3, 6.7, 6.9, 7.8, 8.6, 7.2, 8.5, 8.7, 7.5, 8.7, 7.7, 7.8, 8.7, 8.8, 7.6, 7.5, 8.4, 8.8, 7.9, 7.5, 6.8, 7.7, 8.3, 7.9]}]"
3Ga	Ga	[Na][Na]=[Ca][Ga][No]	52	1	['*C(*)=O']	"[{'SMILES': '*C(*)=O', 'Image': '*C(*)=O', 'Occurrences': 52, 'core': '[Na][Na]=[Ca][Ga][No]', 'Activities': [8.3, 8.8, 7.5, 6.3, 8.5, 7.9, 7.9, 8.2, 7.5, 7.5, 9.0, 7.9, 7.7, 8.8, 8.2, 6.8, 6.5, 7.6, 7.7, 7.6, 7.4, 8.4, 8.7, 8.9, 8.7, 8.8, 8.0, 7.6, 8.3, 6.7, 6.9, 7.8, 8.6, 7.2, 8.5, 8.7, 7.5, 8.7, 7.7, 7.8, 8.7, 8.8, 7.6, 7.5, 8.4, 8.8, 7.9, 7.5, 6.8, 7.7, 8.3, 7.9]}]"
4No	No	[Na][Na]=[Ca][Ga][No]	52	4	"['*c1ccc(*)c(*)c1', '*c1ccc(*)c(*)c1*', '*c1ccccc1*', '*c1cccc(*)c1*']"	"[{'SMILES': '*c1ccc(*)c(*)c1', 'Image': '*c1ccc(*)c(*)c1', 'Occurrences': 19, 'core': '[Na][Na]=[Ca][Ga][No]', 'Activities': [8.3, 6.3, 8.5, 7.5, 7.5, 6.8, 6.5, 7.6, 8.4, 6.7, 6.9, 7.7, 7.8, 8.7, 7.5, 7.9, 7.5, 7.7, 7.9]}, {'SMILES': '*c1ccc(*)c(*)c1*', 'Image': '*c1ccc(*)c(*)c1*', 'Occurrences': 4, 'core': '[Na][Na]=[Ca][Ga][No]', 'Activities': [8.8, 7.7, 8.7, 8.7]}, {'SMILES': '*c1ccccc1*', 'Image': '*c1ccccc1*', 'Occurrences': 6, 'core': '[Na][Na]=[Ca][Ga][No]', 'Activities': [7.5, 7.7, 7.4, 8.0, 7.2, 6.8]}, {'SMILES': '*c1cccc(*)c1*', 'Image': '*c1cccc(*)c1*', 'Occurrences': 23, 'core': '[Na][Na]=[Ca][Ga][No]', 'Activities': [7.9, 7.9, 8.2, 9.0, 7.9, 8.8, 8.2, 7.6, 8.7, 8.9, 8.8, 7.6, 8.3, 7.8, 8.6, 8.5, 8.7, 7.5, 8.8, 7.6, 8.4, 8.8, 8.3]}]"
0Ca	Ca	[Ca][Ga][No]([Hg])[Hg]	200	2	"['*c1n(*)CCN(*)C1', '*N1CCN(*)C(=*)C1']"	"[{'SMILES': '*c1n(*)CCN(*)C1', 'Image': '*c1n(*)CCN(*)C1', 'Occurrences': 121, 'core': '[Ca][Ga][No]([Hg])[Hg]', 'Activities': [8.3, 7.0, 7.6, 6.3, 6.5, 8.5, 8.5, 7.9, 7.5, 7.9, 7.7, 7.5, 7.4, 8.2, 7.5, 6.6, 7.8, 7.5, 9.0, 7.9, 8.2, 7.1, 8.8, 7.9, 8.2, 6.8, 8.5, 6.6, 8.6, 7.3, 6.5, 7.6, 7.3, 8.4, 7.6, 7.5, 8.3, 8.4, 8.4, 6.2, 8.7, 8.9, 6.3, 6.9, 7.8, 7.7, 8.8, 8.3, 7.0, 8.8, 7.1, 7.6, 8.1, 7.9, 8.3, 6.7, 7.8, 8.6, 7.1, 7.4, 6.6, 7.6, 7.8, 8.5, 7.9, 8.7, 7.5, 7.5, 7.8, 7.9, 8.2, 7.5, 8.6, 7.7, 8.8, 7.0, 7.0, 8.7, 6.5, 7.5, 8.6, 8.0, 6.5, 6.7, 7.9, 7.9, 8.8, 7.6, 7.8, 7.0, 6.7, 7.6, 6.6, 7.0, 7.5, 6.1, 6.8, 7.4, 8.4, 8.8, 7.9, 7.3, 8.2, 7.5, 7.7, 6.2, 8.5, 6.8, 7.6, 8.3, 7.3, 7.3, 7.9, 6.2, 6.7, 8.8, 6.4, 7.9, 7.7, 8.7, 8.7]}, {'SMILES': '*N1CCN(*)C(=*)C1', 'Image': '*N1CCN(*)C(=*)C1', 'Occurrences': 79, 'core': '[Ca][Ga][No]([Hg])[Hg]', 'Activities': [6.7, 8.0, 7.3, 6.3, 7.1, 6.8, 7.1, 6.8, 6.6, 7.8, 8.0, 6.6, 7.0, 7.8, 6.4, 8.0, 8.0, 7.9, 8.4, 7.2, 8.1, 7.0, 7.5, 6.7, 6.9, 8.0, 7.0, 6.6, 7.2, 6.9, 7.2, 8.1, 6.3, 7.3, 6.9, 7.2, 7.5, 6.8, 8.3, 8.2, 7.1, 6.5, 6.1, 8.4, 7.9, 7.9, 7.2, 6.5, 7.4, 7.6, 7.8, 6.8, 6.5, 6.9, 6.7, 6.5, 7.9, 7.3, 7.4, 8.2, 7.6, 7.9, 6.7, 7.4, 8.3, 7.8, 6.7, 7.3, 7.2, 7.5, 7.0, 7.8, 7.8, 7.8, 6.2, 7.0, 7.4, 8.0, 7.4]}]"
1Ga	Ga	[Ca][Ga][No]([Hg])[Hg]	200	1	['*C(*)=O']	"[{'SMILES': '*C(*)=O', 'Image': '*C(*)=O', 'Occurrences': 200, 'core': '[Ca][Ga][No]([Hg])[Hg]', 'Activities': [8.3, 7.0, 6.7, 8.0, 7.6, 6.3, 6.5, 7.3, 6.3, 7.1, 8.5, 6.8, 7.1, 6.8, 8.5, 7.9, 7.5, 7.9, 7.7, 7.5, 7.4, 6.6, 7.8, 8.2, 8.0, 7.5, 6.6, 6.6, 7.0, 7.8, 7.5, 9.0, 7.8, 7.9, 8.2, 7.1, 8.8, 7.9, 6.4, 8.0, 8.2, 6.8, 8.0, 7.9, 8.5, 6.6, 8.6, 7.3, 8.4, 6.5, 7.6, 7.3, 7.2, 8.4, 8.1, 7.0, 7.6, 7.5, 6.7, 6.9, 8.0, 7.5, 8.3, 8.4, 8.4, 7.0, 6.6, 7.2, 6.2, 8.7, 6.9, 8.9, 6.3, 6.9, 7.8, 7.7, 7.2, 8.1, 8.8, 8.3, 7.0, 6.3, 8.8, 7.3, 6.9, 7.1, 7.2, 7.5, 6.8, 8.3, 7.6, 8.2, 8.1, 7.9, 8.3, 6.7, 7.1, 6.5, 6.1, 8.4, 7.9, 7.8, 8.6, 7.1, 7.9, 7.2, 7.4, 6.5, 6.6, 7.6, 7.4, 7.8, 8.5, 7.9, 7.6, 7.8, 8.7, 7.5, 7.5, 7.8, 7.9, 8.2, 6.8, 6.5, 7.5, 6.9, 6.7, 8.6, 7.7, 6.5, 7.9, 8.8, 7.0, 7.0, 8.7, 6.5, 7.3, 7.4, 7.5, 8.6, 8.0, 8.2, 7.6, 6.5, 7.9, 6.7, 7.4, 6.7, 8.3, 7.9, 7.9, 7.8, 6.7, 8.8, 7.6, 7.8, 7.0, 6.7, 7.6, 7.3, 6.6, 7.2, 7.5, 7.0, 7.5, 6.1, 7.0, 6.8, 7.4, 7.8, 8.4, 8.8, 7.9, 7.3, 8.2, 7.5, 7.7, 6.2, 7.8, 8.5, 7.8, 6.8, 7.6, 8.3, 7.3, 7.3, 7.9, 6.2, 6.7, 6.2, 8.8, 6.4, 7.0, 7.9, 7.7, 7.4, 8.7, 8.7, 8.0, 7.4]}]"
2No	No	[Ca][Ga][No]([Hg])[Hg]	200	4	"['*c1ccc(*)c(*)c1', '*c1cccc(*)c1*', '*c1ccc(*)c(*)c1*', '*c1cc(*)c(*)c(*)c1']"	"[{'SMILES': '*c1ccc(*)c(*)c1', 'Image': '*c1ccc(*)c(*)c1', 'Occurrences': 50, 'core': '[Ca][Ga][No]([Hg])[Hg]', 'Activities': [8.3, 7.0, 6.3, 6.5, 6.3, 8.5, 7.5, 7.4, 7.5, 6.6, 7.8, 7.5, 6.8, 6.6, 6.5, 7.6, 7.3, 7.0, 8.4, 6.6, 6.3, 7.8, 7.7, 6.3, 6.7, 6.1, 7.2, 7.4, 7.5, 7.8, 7.7, 7.0, 8.7, 7.4, 7.6, 6.7, 7.9, 7.9, 6.7, 7.2, 7.5, 7.5, 6.1, 6.8, 7.9, 7.5, 7.7, 6.8, 7.6, 7.9]}, {'SMILES': '*c1cccc(*)c1*', 'Image': '*c1cccc(*)c1*', 'Occurrences': 139, 'core': '[Ca][Ga][No]([Hg])[Hg]', 'Activities': [6.7, 8.0, 7.6, 7.3, 7.1, 8.5, 6.8, 7.1, 6.8, 7.9, 7.9, 7.7, 7.5, 6.6, 7.8, 8.2, 8.0, 6.6, 7.0, 9.0, 7.8, 7.9, 8.2, 7.1, 8.8, 7.9, 6.4, 8.0, 8.2, 8.0, 7.9, 8.5, 8.6, 7.3, 8.4, 7.2, 8.4, 8.1, 7.6, 7.5, 6.7, 6.9, 8.0, 7.5, 8.3, 8.4, 7.0, 7.2, 6.2, 8.7, 6.9, 8.9, 6.9, 7.2, 8.1, 8.8, 8.3, 7.0, 8.8, 7.3, 6.9, 7.1, 7.2, 7.5, 6.8, 8.3, 7.6, 8.2, 8.1, 7.9, 8.3, 7.1, 6.5, 8.4, 7.9, 7.8, 8.6, 7.1, 7.9, 6.5, 6.6, 7.6, 7.4, 7.8, 8.5, 7.9, 7.6, 7.8, 8.7, 7.5, 7.9, 8.2, 6.8, 6.5, 7.5, 6.9, 6.7, 8.6, 6.5, 7.9, 8.8, 7.0, 6.5, 7.3, 7.5, 8.6, 8.0, 8.2, 6.5, 7.9, 6.7, 7.4, 8.3, 7.8, 6.7, 8.8, 7.6, 7.8, 7.0, 7.6, 7.3, 6.6, 7.0, 7.0, 7.4, 7.8, 8.4, 8.8, 7.3, 8.2, 6.2, 7.8, 8.5, 7.8, 8.3, 7.3, 7.3, 6.2, 6.7]}, {'SMILES': '*c1ccc(*)c(*)c1*', 'Image': '*c1ccc(*)c(*)c1*', 'Occurrences': 7, 'core': '[Ca][Ga][No]([Hg])[Hg]', 'Activities': [6.2, 8.8, 7.0, 7.7, 8.7, 8.7, 7.4]}, {'SMILES': '*c1cc(*)c(*)c(*)c1', 'Image': '*c1cc(*)c(*)c(*)c1', 'Occurrences': 4, 'core': '[Ca][Ga][No]([Hg])[Hg]', 'Activities': [6.4, 7.9, 7.4, 8.0]}]"
3Hg	Hg	[Ca][Ga][No]([Hg])[Hg]	200	3	"['*F', '*Cl', '*C(F)(F)F']"	"[{'SMILES': '*F', 'Image': '*F', 'Occurrences': 35, 'core': '[Ca][Ga][No]([Hg])[Hg]', 'Activities': [8.3, 6.3, 6.5, 6.3, 7.5, 6.6, 6.8, 6.6, 6.5, 7.6, 7.3, 7.0, 8.4, 6.3, 7.8, 6.3, 6.7, 6.5, 7.4, 7.5, 7.8, 7.0, 7.4, 7.9, 7.9, 7.5, 7.9, 7.5, 7.7, 6.8, 7.6, 6.2, 7.7, 8.7, 7.4]}, {'SMILES': '*Cl', 'Image': '*Cl', 'Occurrences': 62, 'core': '[Ca][Ga][No]([Hg])[Hg]', 'Activities': [7.0, 8.5, 6.8, 8.5, 7.4, 7.8, 8.2, 7.5, 7.8, 7.5, 9.0, 7.8, 7.9, 8.0, 8.4, 7.6, 7.5, 6.7, 8.3, 7.0, 6.6, 6.9, 7.7, 7.3, 6.9, 7.2, 6.8, 6.1, 7.2, 7.8, 7.5, 7.9, 6.9, 8.6, 7.7, 8.7, 6.5, 7.6, 6.7, 8.3, 7.8, 6.7, 8.8, 7.6, 6.7, 7.3, 7.2, 7.5, 6.1, 7.0, 6.8, 7.8, 6.2, 7.3, 7.9, 8.8, 6.4, 7.0, 7.9, 7.4, 8.7, 8.0]}, {'SMILES': '*C(F)(F)F', 'Image': '*C(F)(F)F', 'Occurrences': 103, 'core': '[Ca][Ga][No]([Hg])[Hg]', 'Activities': [6.7, 8.0, 7.6, 7.3, 7.1, 6.8, 7.1, 7.9, 7.9, 7.7, 7.5, 6.6, 8.0, 6.6, 7.0, 7.9, 8.2, 7.1, 8.8, 6.4, 8.0, 8.2, 7.9, 8.5, 8.6, 7.3, 7.2, 8.4, 8.1, 6.9, 8.0, 7.5, 8.4, 7.2, 6.2, 8.7, 8.9, 6.9, 7.2, 8.1, 8.8, 8.3, 7.0, 8.8, 7.1, 7.5, 8.3, 7.6, 8.2, 8.1, 7.9, 8.3, 7.1, 8.4, 7.9, 7.8, 8.6, 7.1, 7.9, 6.5, 6.6, 7.6, 7.4, 7.8, 8.5, 7.9, 7.6, 8.7, 8.2, 6.8, 6.5, 7.5, 6.7, 6.5, 7.9, 8.8, 7.0, 7.3, 7.5, 8.6, 8.0, 8.2, 6.5, 7.9, 6.7, 7.4, 7.8, 7.0, 7.6, 6.6, 7.0, 7.4, 8.4, 8.8, 7.3, 8.2, 7.8, 8.5, 7.8, 8.3, 7.3, 6.2, 6.7]}]"
4Hg	Hg	[Ca][Ga][No]([Hg])[Hg]	200	3	"['*Cl', '*F', '*C(F)(F)F']"	"[{'SMILES': '*Cl', 'Image': '*Cl', 'Occurrences': 189, 'core': '[Ca][Ga][No]([Hg])[Hg]', 'Activities': [8.3, 7.0, 6.7, 8.0, 7.6, 6.3, 6.5, 7.3, 6.3, 7.1, 8.5, 6.8, 7.1, 8.5, 7.9, 7.5, 7.9, 7.7, 7.5, 7.4, 6.6, 7.8, 8.2, 8.0, 7.5, 6.6, 6.6, 7.0, 7.8, 9.0, 7.8, 7.9, 8.2, 8.8, 7.9, 6.4, 8.0, 8.2, 6.8, 8.0, 7.9, 8.5, 6.6, 8.6, 7.3, 8.4, 6.5, 7.6, 7.3, 7.2, 8.4, 8.1, 7.0, 7.6, 7.5, 6.7, 6.9, 8.0, 7.5, 8.3, 8.4, 8.4, 7.0, 6.6, 7.2, 6.2, 8.7, 6.9, 8.9, 6.3, 6.9, 7.8, 7.7, 8.1, 8.8, 8.3, 7.0, 6.3, 8.8, 7.3, 6.9, 7.1, 7.2, 7.5, 6.8, 8.3, 7.6, 8.2, 8.1, 7.9, 6.7, 7.1, 6.1, 8.4, 7.9, 7.8, 8.6, 7.1, 7.9, 7.2, 7.4, 6.5, 6.6, 7.6, 7.4, 7.8, 8.5, 7.9, 7.6, 7.8, 8.7, 7.5, 7.5, 7.8, 7.9, 8.2, 6.8, 6.5, 7.5, 6.9, 6.7, 8.6, 6.5, 7.9, 8.8, 7.0, 7.0, 8.7, 6.5, 7.3, 7.4, 7.5, 8.6, 8.0, 8.2, 7.6, 6.5, 7.9, 6.7, 7.4, 6.7, 8.3, 7.9, 7.9, 7.8, 6.7, 8.8, 7.6, 7.8, 7.0, 6.7, 7.6, 7.3, 6.6, 7.5, 7.0, 7.5, 6.1, 7.0, 6.8, 7.4, 7.8, 8.4, 8.8, 7.3, 8.2, 7.7, 6.2, 7.8, 8.5, 7.8, 6.8, 7.6, 8.3, 7.3, 7.3, 7.9, 6.2, 6.7, 6.2, 8.8, 6.4, 7.9, 7.7, 7.4, 8.7, 8.7, 8.0, 7.4]}, {'SMILES': '*F', 'Image': '*F', 'Occurrences': 7, 'core': '[Ca][Ga][No]([Hg])[Hg]', 'Activities': [6.8, 7.1, 7.2, 8.3, 6.5, 7.2, 7.0]}, {'SMILES': '*C(F)(F)F', 'Image': '*C(F)(F)F', 'Occurrences': 4, 'core': '[Ca][Ga][No]([Hg])[Hg]', 'Activities': [7.5, 7.7, 7.9, 7.5]}]"
