CMPD_CHEMBLID	CANONICAL_SMILES	PUBLISHED_VALUE	DOC_CHEMBLID
CHEMBL2218143	Fc1ccc(N2CCN(CC2=O)C(=O)c3c(F)ccc(F)c3Cl)c(Cl)c1	6.2	CHEMBL2218064
CHEMBL2218191	CN1[C@@H](CCC1=O)C(=O)NCc2cccc(c2F)C(F)(F)F	7.6	CHEMBL2218064
CHEMBL2218499	CC(C)N1[C@@H](CCS1(=O)=O)C(=O)NCc2ccc(F)cc2C(F)(F)F	6.2	CHEMBL2218064
CHEMBL2218279	CN1CC(CC1=O)C(=O)NCc2cccc(c2Cl)C(F)(F)F	7.2	CHEMBL2218064
CHEMBL2218542	CN1[C@@H](CN(C1=O)c2ncccn2)C(=O)NCc3ccc(Cl)cc3Cl	8.2	CHEMBL2218064
CHEMBL2218174	CCN1[C@@H](CN(C)C1=O)C(=O)NCc2cccc(c2Cl)C(F)(F)F	9.1	CHEMBL2218064
CHEMBL2218451	Fc1ccc(CN2CCN(C(=O)C2=O)c3ccccc3N4CCOCC4)c(Cl)c1	6.9	CHEMBL2218064
CHEMBL2218557	CC(C)c1ccnc(n1)N2C[C@H](N(C)C2=O)C(=O)NCc3ccc(Cl)cc3Cl	6.8	CHEMBL2218064
CHEMBL2218745	Fc1ccc(CN2CCN(C(=O)C2=O)c3ccccc3c4ccccc4)c(Cl)c1	6.9	CHEMBL2218064
CHEMBL1222519	Fc1ccc(CNC(=O)[C@@H]2CCC(=O)N2C3CCCC3)c(Cl)c1	6.3	CHEMBL1221272
CHEMBL2218277	CN1C(C(=O)NCc2cccc(c2Cl)C(F)(F)F)C(C)(C)CC1=O	7	CHEMBL2218064
CHEMBL2218069	CN1[C@@H](CCS1(=O)=O)C(=O)NCc2ccccc2Cl	6.1	CHEMBL2218064
CHEMBL2218650	Fc1ccc(CN2CCN(C(=O)C2=O)c3cc(Br)ccc3Cl)c(Cl)c1	8	CHEMBL2218064
CHEMBL2218649	Fc1ccc(CN2CCN(C(=O)C2=O)c3cc(F)ccc3N4CCOCC4)c(Cl)c1	7.8	CHEMBL2218064
CHEMBL2218117	Fc1ccc(C(=O)N2CCn3c(C2)nnc3c4cnccn4)c(Cl)c1	8.3	CHEMBL2218064
CHEMBL2218397	Cc1nn(c(C)c1CC(=O)NCc2ccc(F)cc2Cl)c3ccccc3F	6.8	CHEMBL2218064
CHEMBL2218086	Cc1cccc(C)c1N2CCN(Cc3cccc(c3Cl)C(F)(F)F)C(=O)C2=O	8.2	CHEMBL2218064
CHEMBL2218271	Fc1ccc(CNC(=O)[C@H]2CCC(=O)N2Cc3ccccc3)c(Cl)c1	7.1	CHEMBL2218064
CHEMBL2218154	CN1[C@@H](CN(C1=O)c2cc(ncn2)C(F)(F)F)C(=O)NCc3cccc(c3Cl)C(F)(F)F	7.5	CHEMBL2218064
CHEMBL2218216	Fc1ccc(c(F)c1)c2nnc3CN(CCn23)C(=O)c4ccc(Cl)cc4Cl	7	CHEMBL2218064
CHEMBL2218610	Cc1nn(CC(C)(C)O)c(C)c1CC(=O)NCc2ccc(F)c(F)c2F	6.1	CHEMBL2218064
