SMILES	ID	initial_canonicalise	salt_removal	neutralise	cleaned_smiles
CN1[C@@H](CCC1=O)C(=O)NCc2cccc(c2F)C(F)(F)F	CHEMBL2218191	CN1C(=O)CC[C@H]1C(=O)NCc1cccc(C(F)(F)F)c1F	CN1C(=O)CC[C@H]1C(=O)NCc1cccc(C(F)(F)F)c1F	CN1C(=O)CC[C@H]1C(=O)NCc1cccc(C(F)(F)F)c1F	CN1C(=O)CC[C@H]1C(=O)NCc1cccc(C(F)(F)F)c1F
CC(C)N1[C@@H](CCS1(=O)=O)C(=O)NCc2ccc(F)cc2C(F)(F)F	CHEMBL2218499	CC(C)N1[C@H](C(=O)NCc2ccc(F)cc2C(F)(F)F)CCS1(=O)=O	CC(C)N1[C@H](C(=O)NCc2ccc(F)cc2C(F)(F)F)CCS1(=O)=O	CC(C)N1[C@H](C(=O)NCc2ccc(F)cc2C(F)(F)F)CCS1(=O)=O	CC(C)N1[C@H](C(=O)NCc2ccc(F)cc2C(F)(F)F)CCS1(=O)=O
CN1CC(CC1=O)C(=O)NCc2cccc(c2Cl)C(F)(F)F	CHEMBL2218279	CN1CC(C(=O)NCc2cccc(C(F)(F)F)c2Cl)CC1=O	CN1CC(C(=O)NCc2cccc(C(F)(F)F)c2Cl)CC1=O	CN1CC(C(=O)NCc2cccc(C(F)(F)F)c2Cl)CC1=O	CN1CC(C(=O)NCc2cccc(C(F)(F)F)c2Cl)CC1=O
CN1[C@@H](CN(C1=O)c2ncccn2)C(=O)NCc3ccc(Cl)cc3Cl	CHEMBL2218542	CN1C(=O)N(c2ncccn2)C[C@H]1C(=O)NCc1ccc(Cl)cc1Cl	CN1C(=O)N(c2ncccn2)C[C@H]1C(=O)NCc1ccc(Cl)cc1Cl	CN1C(=O)N(c2ncccn2)C[C@H]1C(=O)NCc1ccc(Cl)cc1Cl	CN1C(=O)N(c2ncccn2)C[C@H]1C(=O)NCc1ccc(Cl)cc1Cl
CCN1[C@@H](CN(C)C1=O)C(=O)NCc2cccc(c2Cl)C(F)(F)F	CHEMBL2218174	CCN1C(=O)N(C)C[C@H]1C(=O)NCc1cccc(C(F)(F)F)c1Cl	CCN1C(=O)N(C)C[C@H]1C(=O)NCc1cccc(C(F)(F)F)c1Cl	CCN1C(=O)N(C)C[C@H]1C(=O)NCc1cccc(C(F)(F)F)c1Cl	CCN1C(=O)N(C)C[C@H]1C(=O)NCc1cccc(C(F)(F)F)c1Cl
Fc1ccc(CN2CCN(C(=O)C2=O)c3ccccc3N4CCOCC4)c(Cl)c1	CHEMBL2218451	O=C1C(=O)N(c2ccccc2N2CCOCC2)CCN1Cc1ccc(F)cc1Cl	O=C1C(=O)N(c2ccccc2N2CCOCC2)CCN1Cc1ccc(F)cc1Cl	O=C1C(=O)N(c2ccccc2N2CCOCC2)CCN1Cc1ccc(F)cc1Cl	O=C1C(=O)N(c2ccccc2N2CCOCC2)CCN1Cc1ccc(F)cc1Cl
CC(C)c1ccnc(n1)N2C[C@H](N(C)C2=O)C(=O)NCc3ccc(Cl)cc3Cl	CHEMBL2218557	CC(C)c1ccnc(N2C[C@@H](C(=O)NCc3ccc(Cl)cc3Cl)N(C)C2=O)n1	CC(C)c1ccnc(N2C[C@@H](C(=O)NCc3ccc(Cl)cc3Cl)N(C)C2=O)n1	CC(C)c1ccnc(N2C[C@@H](C(=O)NCc3ccc(Cl)cc3Cl)N(C)C2=O)n1	CC(C)c1ccnc(N2C[C@@H](C(=O)NCc3ccc(Cl)cc3Cl)N(C)C2=O)n1
Fc1ccc(CN2CCN(C(=O)C2=O)c3ccccc3c4ccccc4)c(Cl)c1	CHEMBL2218745	O=C1C(=O)N(c2ccccc2-c2ccccc2)CCN1Cc1ccc(F)cc1Cl	O=C1C(=O)N(c2ccccc2-c2ccccc2)CCN1Cc1ccc(F)cc1Cl	O=C1C(=O)N(c2ccccc2-c2ccccc2)CCN1Cc1ccc(F)cc1Cl	O=C1C(=O)N(c2ccccc2-c2ccccc2)CCN1Cc1ccc(F)cc1Cl
Fc1ccc(CNC(=O)[C@@H]2CCC(=O)N2C3CCCC3)c(Cl)c1	CHEMBL1222519	O=C(NCc1ccc(F)cc1Cl)[C@@H]1CCC(=O)N1C1CCCC1	O=C(NCc1ccc(F)cc1Cl)[C@@H]1CCC(=O)N1C1CCCC1	O=C(NCc1ccc(F)cc1Cl)[C@@H]1CCC(=O)N1C1CCCC1	O=C(NCc1ccc(F)cc1Cl)[C@@H]1CCC(=O)N1C1CCCC1
CN1C(C(=O)NCc2cccc(c2Cl)C(F)(F)F)C(C)(C)CC1=O	CHEMBL2218277	CN1C(=O)CC(C)(C)C1C(=O)NCc1cccc(C(F)(F)F)c1Cl	CN1C(=O)CC(C)(C)C1C(=O)NCc1cccc(C(F)(F)F)c1Cl	CN1C(=O)CC(C)(C)C1C(=O)NCc1cccc(C(F)(F)F)c1Cl	CN1C(=O)CC(C)(C)C1C(=O)NCc1cccc(C(F)(F)F)c1Cl
